# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
753408:[-2,0,-2,-2,-1,2]
778441:[-1,-1,1,2,-1,-2]
357777:[0,1,-1,0,-1,-1]
886528:[-1,-1,-2,0,-1,1]
7329:[1,0,-1,0,-1,-1]
61333:[1,0,-1,-1,-1,0]
449536:[-1,0,-2,-2,-1,2]
135649:[1,1,-1,0,-1,-1]
410368:[0,0,-2,-2,-1,2]
945433:[0,-2,1,2,-1,-2]
48069:[1,1,-1,-1,-1,0]
69613:[-1,-1,-1,1,-1,-1]
129609:[0,-1,1,2,-1,-2]
200781:[-1,0,-1,1,-1,-1]
531693:[-2,1,-2,-1,-1,2]
900525:[-1,1,-1,1,-1,-1]
622597:[2,1,-1,-1,-1,0]
341613:[-1,0,-2,-1,-1,2]
132057:[0,2,1,2,-1,-2]
576621:[0,0,-2,-1,-1,2]
209664:[-2,-1,2,-2,-1,-2]
260829:[0,-1,-1,1,-1,-1]
254208:[-1,0,-2,0,-1,1]
203041:[-1,-1,-1,0,-1,0]
33597:[0,0,-1,1,-1,-1]
624384:[0,-1,-2,0,-1,1]
732928:[-1,0,-2,0,-1,2]
77841:[-1,0,-1,0,-1,0]
543901:[0,1,-1,1,-1,-1]
62208:[0,0,2,-2,-1,-2]
63232:[-1,1,-2,0,-1,2]
680269:[1,0,2,-1,-1,-2]
291072:[-1,2,-2,0,-1,2]
52257:[0,-1,-1,0,-1,0]
306381:[1,-1,-1,1,-1,-1]
412672:[2,0,-2,0,-1,2]
933888:[-2,-2,2,0,-1,-2]
118573:[1,0,-1,1,-1,-1]
529:[0,0,-1,0,-1,0]
754621:[1,-1,-2,1,-1,2]
99073:[0,1,-1,0,-1,0]
691200:[0,0,-2,0,-1,1]
749433:[-2,-1,-1,-2,-1,2]
37888:[-2,0,2,0,-1,-2]
175104:[0,2,-2,0,-1,1]
247437:[1,1,-1,1,-1,-1]
159744:[2,0,-2,0,-1,1]
533217:[-1,-1,-1,2,-1,-1]
633181:[-2,0,-2,1,-1,1]
943609:[-1,-1,-1,-2,-1,2]
788224:[1,0,2,0,-1,-2]
410409:[0,0,-1,-2,-1,2]
636337:[0,-1,-1,2,-1,-1]
587421:[1,-1,-2,1,-1,1]
529:[1,0,-1,0,-1,0]
761088:[1,1,2,0,-1,-2]
69769:[2,2,-1,-2,-1,2]
887229:[-2,-1,2,1,-1,-2]
309225:[-2,-2,-1,-2,-1,1]
869053:[-1,-1,2,1,-1,-2]
419257:[-1,-1,-1,-2,-1,1]
132609:[1,1,-1,0,-1,0]
423993:[-1,0,-1,-2,-1,1]
272881:[0,0,-1,2,-1,-1]
518949:[-1,-1,-1,1,-1,0]
657081:[-1,1,-1,-2,-1,1]
700221:[1,1,2,1,-1,-2]
784501:[-1,0,-1,-1,-1,2]
97929:[0,0,-1,-2,-1,1]
33493:[-1,0,-1,1,-1,0]
705409:[1,-1,-1,2,-1,-1]
55861:[0,0,-1,-1,-1,2]
145921:[1,1,-1,2,-1,-1]
637173:[1,0,-1,-1,-1,2]
91429:[0,-1,-1,1,-1,0]
777157:[1,1,-1,-1,-1,2]
555529:[0,1,-1,-2,-1,1]
237312:[-1,-1,0,-2,-1,-1]
788101:[2,1,-1,-1,-1,2]
725977:[1,0,-1,-2,-1,1]
920473:[-1,0,-1,0,-1,2]
608512:[-1,1,0,-2,-1,-1]
79513:[0,0,-1,0,-1,2]
56277:[0,0,-1,1,-1,0]
485577:[0,1,-1,0,-1,2]
298629:[0,1,-1,1,-1,0]
62464:[0,-1,0,-2,-1,-1]
257061:[1,-1,-1,1,-1,0]
253696:[0,0,0,-2,-1,-1]
332757:[1,0,-1,1,-1,0]
795648:[0,1,0,-2,-1,-1]
180633:[1,0,-1,0,-1,2]
293632:[1,-1,0,-2,-1,-1]
301957:[1,1,-1,1,-1,0]
69888:[1,0,0,-2,-1,-1]
617781:[1,2,-1,1,-1,0]
676096:[1,1,0,-2,-1,-1]
442341:[0,-1,-1,1,-1,2]
833809:[0,-2,-1,2,-1,0]
16749:[-1,-1,0,-1,-1,-1]
265216:[-1,-2,0,-2,-1,0]
263053:[-1,0,0,-1,-1,-1]
788869:[0,1,-1,1,-1,2]
51181:[0,-1,0,-1,-1,-1]
741717:[0,2,-1,1,-1,2]
711424:[-1,1,0,-2,-1,0]
826933:[1,0,-1,1,-1,2]
16909:[0,0,0,-1,-1,-1]
85248:[0,-1,0,-2,-1,0]
60717:[0,1,0,-1,-1,-1]
193792:[0,0,0,-2,-1,0]
645229:[1,-1,0,-1,-1,-1]
638208:[-1,-1,0,-2,-1,2]
339712:[0,1,0,-2,-1,0]
56973:[1,0,0,-1,-1,-1]
918784:[1,-1,0,-2,-1,0]
214957:[1,1,0,-1,-1,-1]
421888:[1,0,0,-2,-1,0]
73357:[0,0,0,-1,-1,2]
43264:[-1,-1,0,0,-1,-1]
97536:[1,1,0,-2,-1,0]
112896:[-1,0,0,0,-1,-1]
957837:[0,1,0,-1,-1,2]
20736:[0,-1,0,0,-1,-1]
202701:[1,0,0,-1,-1,2]
139573:[-1,-1,0,-1,-1,0]
160000:[0,1,0,0,-1,-1]
43981:[1,1,0,-1,-1,2]
43264:[1,0,0,0,-1,-1]
903424:[0,1,0,0,-1,2]
112896:[1,1,0,0,-1,-1]
196864:[1,0,0,0,-1,2]
16749:[-1,-1,0,1,-1,-1]
235029:[-1,0,0,-1,-1,0]
297216:[1,1,0,0,-1,2]
263053:[-1,0,0,1,-1,-1]
73357:[0,0,0,1,-1,2]
51181:[0,-1,0,1,-1,-1]
34677:[0,-1,0,-1,-1,0]
957837:[0,1,0,1,-1,2]
16909:[0,0,0,1,-1,-1]
768256:[-2,-1,-2,-2,0,-1]
853:[0,0,0,-1,-1,0]
60717:[0,1,0,1,-1,-1]
114229:[0,1,0,-1,-1,0]
645229:[1,-1,0,1,-1,-1]
772864:[0,-2,-2,-2,0,-1]
56973:[1,0,0,1,-1,-1]
444672:[0,-1,-2,-2,0,-1]
841909:[1,-1,0,-1,-1,0]
130816:[1,2,-2,-2,0,-1]
61333:[1,0,0,-1,-1,0]
214957:[1,1,0,1,-1,-1]
10101:[1,1,0,-1,-1,0]
237312:[-1,-1,0,2,-1,-1]
112896:[-1,-1,0,0,-1,0]
5637:[-1,-2,-2,-1,0,-1]
202701:[1,0,0,1,-1,2]
567333:[-1,-1,-2,-1,0,-1]
608512:[-1,1,0,2,-1,-1]
160000:[-1,0,0,0,-1,0]
43981:[1,1,0,1,-1,2]
62464:[0,-1,0,2,-1,-1]
151621:[-1,0,-2,-1,0,-1]
253696:[0,0,0,2,-1,-1]
43264:[0,-1,0,0,-1,0]
475909:[0,-1,-2,-1,0,-1]
795648:[0,1,0,2,-1,-1]
638208:[-1,-1,0,2,-1,2]
293632:[1,-1,0,2,-1,-1]
353061:[0,0,-2,-1,0,-1]
112896:[0,1,0,0,-1,0]
69888:[1,0,0,2,-1,-1]
765189:[1,0,-2,-1,0,-1]
676096:[1,1,0,2,-1,-1]
20736:[1,0,0,0,-1,0]
442341:[0,-1,1,-1,-1,2]
43264:[1,1,0,0,-1,0]
788869:[0,1,1,-1,-1,2]
139573:[-1,-1,0,1,-1,0]
171301:[1,1,-2,-1,0,-1]
533217:[-1,-1,1,-2,-1,-1]
331776:[-2,-2,-2,0,0,-1]
235029:[-1,0,0,1,-1,0]
562432:[-1,-1,-2,0,0,-1]
34677:[0,-1,0,1,-1,0]
636337:[0,-1,1,-2,-1,-1]
853:[0,0,0,1,-1,0]
272881:[0,0,1,-2,-1,-1]
258816:[-1,0,-2,0,0,-1]
705409:[1,-1,1,-2,-1,-1]
114229:[0,1,0,1,-1,0]
265216:[0,0,-2,0,0,-1]
145921:[1,1,1,-2,-1,-1]
841909:[1,-1,0,1,-1,0]
69613:[-1,-1,1,-1,-1,-1]
966400:[0,1,-2,0,0,-1]
61333:[1,0,0,1,-1,0]
200781:[-1,0,1,-1,-1,-1]
10101:[1,1,0,1,-1,0]
173824:[1,0,-2,0,0,-1]
265216:[-1,-2,0,2,-1,0]
900525:[-1,1,1,-1,-1,-1]
711424:[-1,1,0,2,-1,0]
251136:[1,1,-2,0,0,-1]
85248:[0,-1,0,2,-1,0]
260829:[0,-1,1,-1,-1,-1]
193792:[0,0,0,2,-1,0]
741717:[0,2,1,-1,-1,2]
339712:[0,1,0,2,-1,0]
826933:[1,0,1,-1,-1,2]
515541:[-1,0,-2,1,0,-1]
33597:[0,0,1,-1,-1,-1]
920473:[-1,0,1,0,-1,2]
543901:[0,1,1,-1,-1,-1]
79513:[0,0,1,0,-1,2]
306381:[1,-1,1,-1,-1,-1]
918784:[1,-1,0,2,-1,0]
118573:[1,0,1,-1,-1,-1]
421888:[1,0,0,2,-1,0]
260533:[0,0,-2,1,0,-1]
247437:[1,1,1,-1,-1,-1]
97536:[1,1,0,2,-1,0]
790657:[-1,-2,1,0,-1,-1]
833809:[0,-2,1,-2,-1,0]
485577:[0,1,1,0,-1,2]
678613:[0,1,-2,1,0,-1]
518949:[-1,-1,1,-1,-1,0]
99777:[-1,-1,1,0,-1,-1]
180633:[1,0,1,0,-1,2]
16129:[-1,0,1,0,-1,-1]
784501:[-1,0,1,1,-1,2]
76561:[0,-1,1,0,-1,-1]
33493:[-1,0,1,-1,-1,0]
872821:[1,-1,-2,1,0,-1]
91429:[0,-1,1,-1,-1,0]
171157:[1,0,-2,1,0,-1]
56277:[0,0,1,-1,-1,0]
125877:[1,1,-2,1,0,-1]
55861:[0,0,1,1,-1,2]
298629:[0,1,1,-1,-1,0]
637173:[1,0,1,1,-1,2]
17233:[0,0,1,0,-1,-1]
777157:[1,1,1,1,-1,2]
257061:[1,-1,1,-1,-1,0]
788101:[2,1,1,1,-1,2]
332757:[1,0,1,-1,-1,0]
749433:[-2,-1,1,2,-1,2]
301957:[1,1,1,-1,-1,0]
357777:[0,1,1,0,-1,-1]
943609:[-1,-1,1,2,-1,2]
449121:[-2,-1,-1,-2,0,-1]
410409:[0,0,1,2,-1,2]
7329:[1,0,1,0,-1,-1]
617781:[1,2,1,-1,-1,0]
150993:[-1,-1,-1,-2,0,-1]
203041:[-1,-1,1,0,-1,0]
589824:[-1,-1,0,0,-2,0]
69769:[2,2,1,2,-1,2]
65536:[0,-1,0,0,-2,0]
754621:[1,-1,2,-1,-1,2]
77841:[-1,0,1,0,-1,0]
135649:[1,1,1,0,-1,-1]
589824:[0,1,0,0,-2,0]
650977:[-1,0,-1,-2,0,-1]
732928:[-1,0,2,0,-1,2]
75981:[-1,-1,1,1,-1,-1]
196608:[1,-1,0,0,-2,0]
126529:[0,-1,-1,-2,0,-1]
65536:[1,1,0,0,-2,0]
52257:[0,-1,1,0,-1,0]
243181:[-1,0,1,1,-1,-1]
262144:[2,0,0,0,-2,0]
361809:[0,0,-1,-2,0,-1]
196608:[2,1,0,0,-2,0]
637:[0,-1,1,1,-1,-1]
63232:[-1,1,2,0,-1,2]
529:[0,0,1,0,-1,0]
988825:[-1,-1,0,1,-2,0]
28573:[0,0,1,1,-1,-1]
99073:[0,1,1,0,-1,0]
291072:[-1,2,2,0,-1,2]
411489:[0,1,-1,-2,0,-1]
245181:[0,1,1,1,-1,-1]
44857:[0,-1,0,1,-2,0]
917617:[0,2,-1,-2,0,-1]
529:[1,0,1,0,-1,0]
2617:[0,0,0,1,-2,0]
131661:[1,0,1,1,-1,-1]
132609:[1,1,1,0,-1,0]
522553:[0,1,0,1,-2,0]
980913:[1,-1,-1,-2,0,-1]
59353:[1,-1,0,1,-2,0]
412672:[2,0,2,0,-1,2]
50797:[1,1,1,1,-1,-1]
59353:[1,0,0,1,-2,0]
63973:[-1,-1,1,1,-1,0]
145969:[-1,-1,1,2,-1,-1]
274113:[1,0,-1,-2,0,-1]
235029:[-1,0,1,1,-1,0]
969733:[-2,-1,-1,-1,0,-1]
531693:[-2,1,2,1,-1,2]
838309:[-1,-2,-1,-1,0,-1]
165249:[0,-1,1,2,-1,-1]
341613:[-1,0,2,1,-1,2]
90421:[-1,-1,-1,-1,0,-1]
339777:[0,0,1,2,-1,-1]
71877:[-1,0,-1,-1,0,-1]
45093:[0,-1,1,1,-1,0]
5733:[0,-1,-1,-1,0,-1]
73177:[1,1,0,1,-2,0]
576621:[0,0,2,1,-1,2]
836473:[2,0,0,1,-2,0]
853:[0,0,1,1,-1,0]
457849:[2,1,0,1,-2,0]
29941:[0,0,-1,-1,0,-1]
369409:[0,1,1,2,-1,-1]
753408:[-2,0,2,2,-1,2]
127621:[0,1,-1,-1,0,-1]
147712:[0,-1,0,2,-2,0]
748497:[1,-1,1,2,-1,-1]
127621:[0,1,1,1,-1,0]
258304:[0,0,0,2,-2,0]
250513:[1,0,1,2,-1,-1]
319744:[0,1,0,2,-2,0]
61333:[1,0,1,1,-1,0]
449536:[-1,0,2,2,-1,2]
203008:[1,-1,0,2,-2,0]
638289:[1,1,1,2,-1,-1]
410368:[0,0,2,2,-1,2]
617728:[-2,0,2,-2,-1,-1]
960768:[-2,-1,-2,-2,0,0]
48069:[1,1,1,1,-1,0]
129117:[-1,-1,2,-1,-1,-1]
622597:[2,1,1,1,-1,0]
792832:[1,0,0,2,-2,0]
362752:[-1,-1,-2,-2,0,0]
817408:[1,1,0,2,-2,0]
156177:[-1,-1,1,2,-1,0]
319744:[2,2,0,2,-2,0]
141568:[-1,0,-2,-2,0,0]
202129:[0,-1,1,2,-1,0]
141568:[0,-1,-2,-2,0,0]
564073:[-1,0,1,-1,-2,0]
186624:[0,0,-2,-2,0,0]
65025:[0,0,1,2,-1,0]
37309:[-1,0,2,-1,-1,-1]
210313:[0,-1,1,-1,-2,0]
18801:[0,1,1,2,-1,0]
44937:[0,0,1,-1,-2,0]
320509:[0,0,2,-1,-1,-1]
103041:[1,0,1,2,-1,0]
612957:[0,1,2,-1,-1,-1]
9457:[1,1,1,2,-1,0]
934281:[0,1,1,-1,-2,0]
362752:[0,1,-2,-2,0,0]
935941:[-1,-1,2,-1,-1,0]
960768:[1,-1,-2,-2,0,0]
654493:[1,1,2,-1,-1,-1]
362752:[1,0,-2,-2,0,0]
951069:[2,-1,2,-1,-1,-1]
845481:[1,-1,1,-1,-2,0]
141568:[1,1,-2,-2,0,0]
835497:[1,0,1,-1,-2,0]
585472:[-1,-2,2,0,-1,-1]
445609:[1,1,1,-1,-2,0]
355584:[-1,-1,2,0,-1,-1]
960768:[1,2,-2,-2,0,0]
234441:[2,-1,1,-1,-2,0]
150784:[-1,0,2,0,-1,-1]
900697:[-1,-1,1,0,-2,0]
274432:[0,0,2,0,-1,-1]
534361:[-1,0,1,0,-2,0]
914688:[0,1,2,0,-1,-1]
426981:[-1,0,2,-1,-1,0]
466176:[1,0,2,0,-1,-1]
66841:[0,-1,1,0,-2,0]
186793:[-1,-1,-2,-1,0,0]
832933:[1,2,2,-1,-1,0]
611584:[1,1,2,0,-1,-1]
62377:[-1,0,-2,-1,0,0]
25:[0,0,1,0,-2,0]
222208:[2,0,2,0,-1,-1]
593689:[0,1,1,0,-2,0]
423021:[-1,-2,2,1,-1,-1]
62377:[0,-1,-2,-1,0,0]
636109:[-1,-1,2,1,-1,-1]
59049:[0,0,-2,-1,0,0]
494041:[1,-1,1,0,-2,0]
873733:[2,-1,2,-1,-1,0]
80089:[1,0,1,0,-2,0]
281133:[-1,0,2,1,-1,-1]
238336:[-1,-1,2,0,-1,0]
186793:[0,1,-2,-1,0,0]
73177:[1,1,1,0,-2,0]
186793:[1,0,-2,-1,0,0]
3481:[2,0,1,0,-2,0]
62377:[1,1,-2,-1,0,0]
57600:[-1,0,2,0,-1,0]
961177:[2,1,1,0,-2,0]
369408:[0,-1,2,0,-1,0]
389133:[0,-1,2,1,-1,-1]
30976:[-1,-1,-2,0,0,0]
348525:[0,0,2,1,-1,-1]
189337:[-1,-1,1,1,-2,0]
513709:[1,0,2,1,-1,-1]
232741:[1,0,-1,-1,0,-1]
173056:[0,0,2,0,-1,0]
473344:[-1,0,-2,0,0,0]
90169:[0,-1,1,1,-2,0]
174861:[1,1,2,1,-1,-1]
473344:[0,-1,-2,0,0,0]
26368:[0,1,2,0,-1,0]
186624:[0,0,-2,0,0,0]
503373:[2,1,2,1,-1,-1]
2617:[0,0,1,1,-2,0]
719104:[1,0,2,0,-1,0]
227253:[1,1,-1,-1,0,-1]
432117:[-1,-1,2,1,-1,0]
952081:[-1,-2,-1,0,0,-1]
28672:[-2,-1,2,2,-1,-1]
658489:[0,1,1,1,-2,0]
33493:[-1,0,2,1,-1,0]
17953:[-1,-1,-1,0,0,-1]
249600:[0,-2,2,2,-1,-1]
18993:[-1,0,-1,0,0,-1]
30976:[0,1,-2,0,0,0]
13813:[0,-1,2,1,-1,0]
560128:[0,-1,2,2,-1,-1]
30976:[1,0,-2,0,0,0]
126993:[0,-1,-1,0,0,-1]
579328:[1,1,2,2,-1,-1]
473344:[1,1,-2,0,0,0]
56277:[0,0,2,1,-1,0]
98361:[-2,-1,-2,1,0,0]
295168:[1,2,2,2,-1,-1]
98361:[1,-1,-2,1,0,0]
198837:[0,1,2,1,-1,0]
485632:[-2,-1,-2,-2,0,1]
332757:[1,0,2,1,-1,0]
345088:[-1,-1,-2,-2,0,1]
98361:[1,2,-2,1,0,0]
83712:[-1,0,-2,-2,0,1]
17953:[0,0,-1,0,0,-1]
50176:[-1,1,-2,-2,0,1]
768256:[1,-2,-2,2,0,0]
317233:[0,1,-1,0,0,-1]
696576:[0,-1,-2,-2,0,1]
130321:[1,0,-1,0,0,-1]
23296:[0,0,-2,-2,0,1]
58401:[1,1,-1,0,0,-1]
524725:[1,1,2,1,-1,0]
881733:[-2,-1,-1,1,0,-1]
169:[-1,-1,-1,-2,0,0]
227253:[2,1,2,1,-1,0]
65781:[-1,-1,-1,1,0,-1]
425728:[-2,-1,2,2,-1,0]
249001:[-1,0,-1,-2,0,0]
659200:[0,1,-2,-2,0,1]
80197:[-1,0,-1,1,0,-1]
249001:[0,-1,-1,-2,0,0]
634624:[-1,-1,2,2,-1,0]
59049:[0,0,-1,-2,0,0]
196864:[1,0,-2,-2,0,1]
169:[0,1,-1,-2,0,0]
830613:[-1,1,-1,1,0,-1]
235776:[0,-1,2,2,-1,0]
249253:[0,-1,-1,1,0,-1]
169:[1,0,-1,-2,0,0]
193792:[0,0,2,2,-1,0]
175104:[1,1,-2,-2,0,1]
38133:[0,0,-1,1,0,-1]
249001:[1,1,-1,-2,0,0]
533248:[0,1,2,2,-1,0]
73177:[-1,-1,-1,-1,0,0]
421888:[1,0,2,2,-1,0]
59353:[-1,0,-1,-1,0,0]
986061:[-2,-1,-2,-1,0,1]
140544:[1,1,2,2,-1,0]
645957:[0,1,-1,1,0,-1]
59353:[0,-1,-1,-1,0,0]
170029:[-1,-1,-2,-1,0,1]
729:[0,0,-1,-1,0,0]
52389:[1,0,-1,1,0,-1]
540928:[2,1,2,2,-1,0]
374773:[1,1,-1,1,0,-1]
258157:[-1,0,-2,-1,0,1]
626944:[0,0,-2,-2,0,2]
285357:[-1,1,-2,-1,0,1]
113233:[-2,-1,-1,2,0,-1]
762112:[1,0,-2,-2,0,2]
235225:[1,-1,1,1,-2,0]
750529:[-1,-1,-1,2,0,-1]
59353:[1,0,1,1,-2,0]
120657:[-1,0,-1,2,0,-1]
14313:[-2,2,-2,-1,0,2]
295309:[0,-1,-2,-1,0,1]
620713:[-1,0,-2,-1,0,2]
148941:[0,0,-2,-1,0,1]
711081:[0,0,-2,-1,0,2]
73177:[0,1,-1,-1,0,0]
249049:[1,1,1,1,-2,0]
412209:[0,-1,-1,2,0,-1]
73177:[1,0,-1,-1,0,0]
86697:[1,0,-2,-1,0,2]
836473:[2,0,1,1,-2,0]
744973:[0,1,-2,-1,0,1]
59353:[1,1,-1,-1,0,0]
308161:[0,0,-1,2,0,-1]
60793:[2,1,1,1,-2,0]
246016:[-2,0,-2,0,0,2]
897321:[-1,-2,1,2,-2,0]
52441:[-1,-1,-1,0,0,0]
696576:[-1,0,-2,0,0,2]
116269:[1,0,-2,-1,0,1]
93673:[0,-1,1,2,-2,0]
786541:[1,1,-2,-1,0,1]
991488:[0,-1,-2,0,0,2]
456448:[-2,-1,-2,0,0,1]
114921:[0,0,1,2,-2,0]
921337:[0,-2,-2,1,0,2]
80089:[-1,0,-1,0,0,0]
444393:[0,1,1,2,-2,0]
80089:[0,-1,-1,0,0,0]
69033:[1,-1,1,2,-2,0]
44937:[-1,-1,-1,-2,0,2]
275625:[1,0,1,2,-2,0]
641097:[0,0,-1,-2,0,2]
475561:[1,1,1,2,-2,0]
531712:[-1,-1,-2,0,0,1]
190969:[-1,0,2,-1,-2,0]
767232:[-1,0,-2,0,0,1]
729:[0,0,-1,0,0,0]
858529:[1,-1,-1,2,0,-1]
265993:[1,1,-1,-2,0,2]
652081:[1,0,-1,2,0,-1]
452377:[-1,-1,-1,-1,0,2]
328753:[2,1,-1,2,0,-1]
644025:[-1,0,-1,-1,0,2]
872704:[-2,-1,0,-2,0,-1]
521472:[0,-1,-2,0,0,1]
858393:[0,-1,-1,-1,0,2]
30976:[-1,0,2,0,-2,0]
52441:[0,1,-1,0,0,0]
790528:[0,0,-2,0,0,1]
80128:[0,-1,2,0,-2,0]
390144:[0,2,-2,0,0,1]
92416:[0,0,2,0,-2,0]
249088:[1,0,-2,0,0,1]
77497:[0,0,-1,-1,0,2]
448381:[1,-1,-2,1,0,1]
52441:[1,0,-1,0,0,0]
448768:[0,1,2,0,-2,0]
80089:[1,1,-1,0,0,0]
792832:[1,2,2,0,-2,0]
53857:[-1,-1,-1,-2,0,1]
491449:[1,0,-1,-1,0,2]
253873:[-1,0,-1,-2,0,1]
186793:[-1,-1,-1,1,0,0]
398937:[1,1,-1,-1,0,2]
16384:[-1,-1,0,-2,0,-1]
62377:[-1,0,-1,1,0,0]
243201:[-1,1,-1,-2,0,1]
304569:[-2,1,-1,0,0,2]
389376:[-1,0,0,-2,0,-1]
140193:[0,0,-1,-2,0,1]
133113:[-1,0,-1,0,0,2]
246784:[-1,1,0,-2,0,-1]
62377:[0,-1,-1,1,0,0]
472561:[0,1,-1,-2,0,1]
749497:[-1,1,-1,0,0,2]
402577:[1,0,-1,-2,0,1]
308793:[0,-1,-1,0,0,2]
59049:[0,0,-1,1,0,0]
69888:[0,-1,0,-2,0,-1]
103417:[0,0,-1,0,0,2]
285952:[0,0,0,-2,0,-1]
44257:[1,1,-1,-2,0,1]
72448:[1,0,0,-2,0,-1]
186793:[0,1,-1,1,0,0]
78973:[-1,-1,-1,-1,0,1]
186793:[1,0,-1,1,0,0]
938425:[0,1,-1,0,0,2]
65325:[-1,0,-1,-1,0,1]
62377:[1,1,-1,1,0,0]
381433:[1,0,-1,0,0,2]
746809:[-2,0,-1,2,0,0]
673833:[-1,1,-1,1,0,2]
166621:[-1,1,-1,-1,0,1]
746809:[0,-2,-1,2,0,0]
329133:[0,-1,-1,-1,0,1]
746809:[2,2,-1,2,0,0]
14173:[0,0,-1,-1,0,1]
93673:[0,-1,-1,1,0,2]
130573:[0,1,-1,-1,0,1]
960768:[-1,-2,0,-2,0,0]
480841:[0,2,-1,1,0,2]
886981:[-2,-1,0,-1,0,-1]
187789:[1,0,-1,-1,0,1]
792832:[1,2,0,-2,0,2]
65853:[1,1,-1,-1,0,1]
516729:[-2,1,0,-1,0,2]
16549:[-1,-1,0,-1,0,-1]
362752:[-1,-1,0,-2,0,0]
217969:[-1,-1,-1,0,0,1]
141568:[-1,0,0,-2,0,0]
487225:[-1,-1,0,-1,0,2]
105093:[-1,0,0,-1,0,-1]
25281:[-1,0,-1,0,0,1]
59781:[0,-1,0,-1,0,-1]
641809:[-1,1,-1,0,0,1]
960768:[-1,1,0,-2,0,0]
880857:[-1,0,0,-1,0,2]
18277:[0,0,0,-1,0,-1]
159969:[0,-1,-1,0,0,1]
141568:[0,-1,0,-2,0,0]
87877:[0,1,0,-1,0,-1]
26161:[0,0,-1,0,0,1]
186624:[0,0,0,-2,0,0]
435513:[0,-1,0,-1,0,2]
362752:[0,1,0,-2,0,0]
36481:[0,1,-1,0,0,1]
362752:[1,0,0,-2,0,0]
41797:[1,0,0,-1,0,-1]
141568:[1,1,0,-2,0,0]
882129:[0,2,-1,0,0,1]
100825:[0,0,0,-1,0,2]
114337:[1,0,-1,0,0,1]
960768:[2,1,0,-2,0,0]
175225:[0,1,0,-1,0,2]
73177:[-1,-1,0,-1,0,0]
876153:[1,1,0,-1,0,2]
389361:[1,1,-1,0,0,1]
59353:[-1,0,0,-1,0,0]
884893:[-2,0,-1,1,0,1]
388389:[1,1,0,-1,0,-1]
867421:[-1,-1,-1,1,0,1]
458752:[-2,1,0,0,0,2]
59353:[0,-1,0,-1,0,0]
20736:[-1,-1,0,0,0,-1]
729:[0,0,0,-1,0,0]
589824:[-1,-1,0,0,0,2]
43264:[-1,0,0,0,0,-1]
297037:[-1,0,-1,1,0,1]
458752:[-1,0,0,0,0,2]
26893:[0,-1,-1,1,0,1]
73177:[0,1,0,-1,0,0]
458752:[0,-1,0,0,0,2]
463869:[0,0,-1,1,0,1]
73177:[1,0,0,-1,0,0]
742381:[0,1,-1,1,0,1]
589824:[0,1,0,0,0,2]
843181:[1,0,-1,1,0,1]
59353:[1,1,0,-1,0,0]
600717:[1,2,-1,1,0,1]
589824:[1,0,0,0,0,2]
936049:[-2,0,-1,2,0,1]
851968:[1,1,0,0,0,2]
65536:[-1,-1,0,0,0,0]
906496:[-2,0,0,-2,0,1]
516729:[-2,1,0,1,0,2]
209152:[-1,-2,0,-2,0,1]
487225:[-1,-1,0,1,0,2]
65536:[-1,0,0,0,0,0]
880857:[-1,0,0,1,0,2]
788736:[-1,0,0,-2,0,1]
65536:[0,-1,0,0,0,0]
555264:[0,-1,2,0,-2,1]
65536:[0,1,0,0,0,0]
375808:[0,0,2,0,-2,1]
65536:[1,0,0,0,0,0]
919296:[0,-1,0,-2,0,1]
525568:[1,2,2,0,-2,1]
769792:[0,0,0,-2,0,1]
435513:[0,-1,0,1,0,2]
125229:[-2,-1,2,1,-2,1]
795648:[1,1,0,-2,0,1]
100825:[0,0,0,1,0,2]
65536:[1,1,0,0,0,0]
952749:[-1,-1,2,1,-2,1]
742144:[1,2,0,-2,0,1]
175225:[0,1,0,1,0,2]
43264:[0,-1,0,0,0,-1]
135181:[-1,-1,0,-1,0,1]
73177:[-1,-1,0,1,0,0]
112896:[0,1,0,0,0,-1]
59353:[-1,0,0,1,0,0]
401197:[0,-1,2,1,-2,1]
112896:[1,0,0,0,0,-1]
31629:[-1,0,0,-1,0,1]
876153:[1,1,0,1,0,2]
160000:[1,1,0,0,0,-1]
604429:[-1,1,0,-1,0,1]
886981:[-2,-1,0,1,0,-1]
792832:[1,2,0,2,0,2]
47853:[0,0,2,1,-2,1]
16549:[-1,-1,0,1,0,-1]
59353:[0,-1,0,1,0,0]
182637:[0,-1,0,-1,0,1]
673833:[-1,1,1,-1,0,2]
429741:[0,1,2,1,-2,1]
105093:[-1,0,0,1,0,-1]
25837:[0,0,0,-1,0,1]
23296:[0,0,2,2,-2,1]
93673:[0,-1,1,-1,0,2]
729:[0,0,0,1,0,0]
83053:[0,1,0,-1,0,1]
59781:[0,-1,0,1,0,-1]
480841:[0,2,1,-1,0,2]
452352:[0,-1,-2,-2,1,-2]
73177:[0,1,0,1,0,0]
304569:[-2,1,1,0,0,2]
18277:[0,0,0,1,0,-1]
373069:[1,0,0,-1,0,1]
388864:[1,-1,-2,-2,1,-2]
133113:[-1,0,1,0,0,2]
