# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
168192:[-2,-1,0,-2,-2,2]
148057:[1,1,-1,2,-2,-1]
189337:[-1,-1,-1,-1,-2,0]
21577:[-1,-1,-1,0,-2,1]
310528:[0,-1,0,-2,-2,-1]
628992:[0,0,0,-2,-2,2]
255744:[0,0,0,-2,-2,-1]
28377:[0,0,0,-1,-2,2]
544537:[-1,-1,-1,2,-2,-2]
791193:[-1,0,-1,0,-2,1]
28377:[0,0,0,1,-2,2]
544537:[0,0,-1,2,-2,-2]
504576:[0,1,0,-2,-2,-1]
90169:[0,-1,-1,-1,-2,0]
168192:[-2,-1,0,2,-2,2]
476793:[0,-1,-1,0,-2,1]
887229:[-2,-1,-2,-1,-1,-2]
2617:[0,0,-1,-1,-2,0]
668928:[1,0,0,-2,-2,-1]
658489:[0,1,-1,-1,-2,0]
665856:[-2,-2,0,-2,-2,-2]
7369:[0,0,-1,0,-2,1]
869053:[-1,-1,-2,-1,-1,-2]
708601:[1,0,-1,0,-2,1]
700221:[1,1,-2,-1,-1,-2]
213321:[1,1,-1,0,-2,1]
628992:[0,0,0,2,-2,2]
348025:[2,1,-1,0,-2,1]
933888:[-2,-2,-2,0,-1,-2]
975961:[0,-1,1,-2,-2,2]
37888:[-2,0,-2,0,-1,-2]
829696:[-1,-1,0,-2,-2,-2]
788224:[1,0,-2,0,-1,-2]
844032:[0,-1,0,-2,-2,-2]
601941:[-1,-2,-1,1,-2,1]
235225:[1,-1,-1,-1,-2,0]
517833:[0,0,1,-1,-2,2]
829696:[0,0,0,-2,-2,-2]
954693:[-1,-1,-1,1,-2,1]
792832:[1,-1,0,-2,-2,-2]
92725:[-1,0,-1,1,-2,1]
59353:[1,0,-1,-1,-2,0]
265993:[1,1,1,-1,-2,2]
203776:[1,1,0,-2,-2,-1]
249049:[1,1,-1,-1,-2,0]
251433:[2,1,1,-1,-2,2]
133141:[0,-1,-1,1,-2,1]
761088:[1,1,-2,0,-1,-2]
480261:[-1,-1,0,-1,-2,-1]
205317:[0,0,-1,1,-2,1]
680269:[1,0,-2,1,-1,-2]
74709:[1,0,-1,1,-2,1]
209664:[-2,-1,-2,2,-1,-2]
36153:[0,0,1,0,-2,2]
62208:[0,0,-2,2,-1,-2]
264613:[2,0,-1,1,-2,1]
877669:[-1,0,0,-1,-2,-1]
236329:[1,-1,-1,2,-2,1]
20601:[0,0,1,1,-2,2]
396544:[0,0,0,-2,-2,1]
836473:[2,0,-1,-1,-2,0]
988429:[-1,-2,0,-1,-2,1]
626944:[1,0,0,-2,-2,-2]
60793:[2,1,-1,-1,-2,0]
309637:[0,-1,0,-1,-2,-1]
299533:[-1,-1,0,-1,-2,1]
778441:[-1,-1,-1,-2,-1,-2]
66841:[-1,-1,0,-1,-2,-2]
900697:[-1,-1,-1,0,-2,0]
472953:[-1,0,0,-1,-2,-2]
813837:[-1,0,0,-1,-2,1]
13797:[0,0,0,-1,-2,-1]
534361:[-1,0,-1,0,-2,0]
97929:[0,0,1,2,-2,2]
945433:[0,-2,-1,-2,-1,-2]
66841:[0,-1,-1,0,-2,0]
689421:[0,-1,0,-1,-2,1]
25:[0,0,-1,0,-2,0]
104517:[0,1,0,-1,-2,-1]
593689:[0,1,-1,0,-2,0]
129609:[0,-1,-1,-2,-1,-2]
131328:[0,1,2,0,-2,2]
494041:[1,-1,-1,0,-2,0]
426501:[1,-1,0,-1,-2,-1]
201657:[0,-1,0,-1,-2,-2]
257637:[1,0,0,-1,-2,-1]
66841:[0,0,0,-1,-2,-2]
307881:[0,0,2,1,-2,2]
193657:[0,1,0,-1,-2,-2]
221893:[1,1,0,-1,-2,-1]
80089:[1,0,-1,0,-2,0]
148057:[1,-1,0,-1,-2,-2]
7693:[0,0,0,-1,-2,1]
131328:[0,0,2,2,-2,2]
792453:[2,-1,0,-1,-2,-1]
132057:[0,2,-1,-2,-1,-2]
77497:[1,0,0,-1,-2,-2]
475392:[-1,-1,0,0,-2,-1]
543757:[1,0,0,-1,-2,1]
457497:[1,1,0,-1,-2,-2]
73177:[1,1,-1,0,-2,0]
942069:[-2,-2,-1,-1,-1,-2]
57600:[-1,-1,0,0,-2,1]
786432:[-1,-2,0,0,-2,-2]
3481:[2,0,-1,0,-2,0]
399616:[-1,0,0,0,-2,-1]
262144:[-1,0,0,0,-2,-2]
961177:[2,1,-1,0,-2,0]
65536:[0,-1,0,0,-2,-2]
620800:[0,-1,0,0,-2,1]
84357:[-2,-1,-1,-1,-1,-2]
227584:[0,-1,0,0,-2,-1]
589824:[0,1,0,0,-2,-2]
776448:[1,0,0,0,-2,1]
297216:[0,1,0,0,-2,-1]
247221:[-1,-2,-1,-1,-1,-2]
786432:[1,-1,0,0,-2,-2]
762112:[1,1,0,0,-2,1]
33349:[-1,-1,-1,-1,-1,-2]
262144:[1,1,0,0,-2,-2]
398037:[-1,0,-1,-1,-1,-2]
564073:[-1,0,-1,1,-2,0]
66841:[-1,-1,0,1,-2,-2]
209664:[1,-1,0,0,-2,-1]
219141:[0,-1,-1,-1,-1,-2]
472953:[-1,0,0,1,-2,-2]
210313:[0,-1,-1,1,-2,0]
201657:[0,-1,0,1,-2,-2]
110997:[0,0,-1,-1,-1,-2]
44937:[0,0,-1,1,-2,0]
66841:[0,0,0,1,-2,-2]
183589:[0,1,-1,-1,-1,-2]
977664:[2,1,0,0,-2,1]
125184:[1,0,0,0,-2,-1]
934281:[0,1,-1,1,-2,0]
270592:[1,1,0,0,-2,-1]
845481:[1,-1,-1,1,-2,0]
193657:[0,1,0,1,-2,-2]
988429:[-1,-2,0,1,-2,1]
148057:[1,-1,0,1,-2,-2]
492544:[2,0,0,0,-2,-1]
960853:[1,0,-1,-1,-1,-2]
480261:[-1,-1,0,1,-2,-1]
574437:[1,1,-1,-1,-1,-2]
877669:[-1,0,0,1,-2,-1]
299533:[-1,-1,0,1,-2,1]
835497:[1,0,-1,1,-2,0]
211017:[-2,-2,-1,0,-1,-2]
309637:[0,-1,0,1,-2,-1]
77497:[1,0,0,1,-2,-2]
445609:[1,1,-1,1,-2,0]
457497:[1,1,0,1,-2,-2]
234441:[2,-1,-1,1,-2,0]
813837:[-1,0,0,1,-2,1]
665856:[-2,-2,0,2,-2,-2]
613881:[-2,-1,-1,0,-1,-2]
829696:[-1,-1,0,2,-2,-2]
147712:[0,-1,0,-2,-2,0]
